Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_049.jpg;0;0;1;0;99.66999;85.58897;0.0002411983;56.82556;5.781562E-07
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_096.jpg;0;0;0;0;99.66999;85.58897;0.0002325501;56.82556;4.519518E-07
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_151.jpg;-14.13895;0;0;0;99.66999;85.58897;0.00023151;54.17726;1.050405E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_217.jpg;-11.02302;0;0;0;99.66999;85.58897;0.0002303558;51.2864;2.001304E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_285.jpg;-6.97968;0;0;0;99.66999;85.58897;0.0002286404;49.90169;2.243388E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_351.jpg;-3.042426;0;0;0;99.66999;85.58897;0.000228302;49.11668;2.205355E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_418.jpg;0.9910154;0;0;0;99.66999;85.58897;0.0002284129;49.11075;1.709568E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_485.jpg;4.941659;0;0;0;99.66999;85.58897;0.00022853;49.87985;1.05092E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_552.jpg;9.001908;0;0;0;99.66999;85.58897;0.0002292969;51.25165;3.252576E-06
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_619.jpg;12.92838;0;0;0;99.66999;85.58897;0.000228445;54.12188;-1.157579E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_685.jpg;12.95729;0;0;0;99.66999;85.58897;0.0002272033;56.5746;-2.1648E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_751.jpg;8.971853;0;0;0;99.66999;85.58897;0.0002248498;58.43194;-2.860238E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_819.jpg;4.987364;0;0;0;99.66999;85.58897;0.0002236476;59.86723;-3.11967E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_886.jpg;0.9667683;0;0;0;99.66999;85.58897;0.0002234785;60.16101;-3.00264E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_35_951.jpg;0;0;0;0;99.66999;85.58897;0.0002250876;60.16101;-2.777532E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_36_018.jpg;0;0;0;0;99.66999;85.58897;0.0002272881;60.16101;-2.442787E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_36_084.jpg;0;0;0;0;99.66999;85.58897;0.0002288904;60.16101;-2.173683E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_36_151.jpg;0;0;0;0;99.66999;85.58897;0.0002303966;60.16101;-1.868484E-05
/media/oem/DATA/My Data/Salma/uni/years/Senior-1/Fall 2022/CSE483 Computer Vision/project/Vision_Project_Startup_Code/IMG/robocam_2022_12_05_21_01_36_218.jpg;0;0;0;0;99.66999;85.58897;0.000232618;60.16101;-1.417216E-05
